Tytuł,Cena,link,Metraż,Dzielnica
"Mieszkanie 73,09m2 z tarasem 52,18m2 widok na zieleń,10 min do CENTRUM",1 257 148 zł,/d/oferta/mieszkanie-73-09m2-z-tarasem-52-18m2-widok-na-zielen-10-min-do-centrum-CID3-ID17dJvv.html,"73,09",Prądnik Czerwony
"Łagiewniki, 3 pokojowe mieszkanie z garażem.",790 000 zł,https://www.otodom.pl/pl/oferta/lagiewniki-3-pokojowe-mieszkanie-z-garazem-ID4y4ro.html,"51,80",Łagiewniki-Borek Fałęcki
"Nowoczesne studio z oddzielną kuchnią i strefami Kraków Bieżanów 32,5m",505 000 zł,/d/oferta/nowoczesne-studio-z-oddzielna-kuchnia-i-strefami-krakow-biezanow-32-5m-CID3-ID17dVFB.html,"32,26",Bieżanów-Prokocim
"Nowe wykończone 2 pokoje 43,4 m2 z ogródkiem 55 m2 bez PCC, Właściciel",820 000 zł,/d/oferta/nowe-wykonczone-2-pokoje-43-4-m2-z-ogrodkiem-55-m2-bez-pcc-wlasciciel-CID3-ID179OsS.html,"43,40",Prądnik Biały
Osiedle Podwawelskie-bezpośrednio od właściciela,625 000 złdo negocjacji,/d/oferta/osiedle-podwawelskie-bezposrednio-od-wlasciciela-CID3-ID17d0y8.html,"44,20",Stare Miasto
2 pok/42 m2/do zamieszkania/po remoncie/os.Albertyńskie/balkon,633 000 złdo negocjacji,/d/oferta/2-pok-42-m2-do-zamieszkania-po-remoncie-os-albertynskie-balkon-CID3-ID17kRt9.html,"42,30",Bieńczyce
"Lux apartament 3-pok., ul. Szlak, 82 m2, z m. postojowym i komórką",2 700 000 złdo negocjacji,/d/oferta/lux-apartament-3-pok-ul-szlak-82-m2-z-m-postojowym-i-komorka-CID3-ID17thNh.html,82,Stare Miasto
"Kraków, Poznańska 5 — 55 m² + taras 20 m², 2 pok., garderoba, k. lokat",850 000 zł,/d/oferta/krakow-poznanska-5-55-m-taras-20-m-2-pok-garderoba-k-lokat-CID3-ID17jVvX.html,55,Krowodrza
Sprzedam • 1 pokojowe • Podgórze Duchackie,220 000 złdo negocjacji,/d/oferta/sprzedam-1-pokojowe-podgorze-duchackie-CID3-ID16MqmU.html,"19,18",Podgórze Duchackie
Sprzedam Mieszkanie,530 000 złdo negocjacji,/d/oferta/sprzedam-mieszkanie-CID3-ID17uZBR.html,"44,96",Nowa Huta
Sprzedam mieszkanie Kraków Prądnik właściciel,795 000 zł,/d/oferta/sprzedam-mieszkanie-krakow-pradnik-wlasciciel-CID3-ID17jWuY.html,59,Prądnik Czerwony
"Mieszkanie 3-pok, 67m2, 2008r, Zakrzówek, dobra lokalizacja!",875 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-67m2-2008r-zakrzowek-dobra-lokalizacja-ID4xNFT.html,"67,33",Dębniki
Sprzedam • Rakowicka • Centrum • Uniwersytet Ekonomiczny,255 000 złdo negocjacji,/d/oferta/sprzedam-rakowicka-centrum-uniwersytet-ekonomiczny-CID3-ID171ttG.html,17,Stare Miasto
Obniżka ceny •  Bezpośrednio • Wysoki standard • Kameralnie • Bez PCC,1 549 400 zł,https://www.otodom.pl/pl/oferta/obnizka-ceny-bezposrednio-wysoki-standard-kameralnie-bez-pcc-ID4vH4k.html,"68,14",Bronowice
Na sprzedaż nowe 2-pokojowe mieszkanie z balkonem ul Ruczaj 28,609 000 zł,/d/oferta/na-sprzedaz-nowe-2-pokojowe-mieszkanie-z-balkonem-ul-ruczaj-28-CID3-ID11MkVv.html,34,Łagiewniki-Borek Fałęcki
Ruczaj | Nowe | 2 Pok Bez Posrednikow,799 000 zł,https://www.otodom.pl/pl/oferta/ruczaj-nowe-2-pok-bez-posrednikow-ID4vTBn.html,"45,80",Dębniki
Nowoczesne i komfortowe mieszkanie z dużym balkonem.,1 077 000 złdo negocjacji,/d/oferta/nowoczesne-i-komfortowe-mieszkanie-z-duzym-balkonem-CID3-ID170NgK.html,"63,50",Bronowice
"Mateczny - świetna lokalizacja, zieleń i komfortowa przestrzeń #UNIKAT",1 190 000 złdo negocjacji,/d/oferta/mateczny-swietna-lokalizacja-zielen-i-komfortowa-przestrzen-unikat-CID3-ID17kSv7.html,100,Łagiewniki-Borek Fałęcki
"BEZ PROWIZJI! K. lokatorska, m. postojowe zew., blisko centrum",700 000 zł,/d/oferta/bez-prowizji-k-lokatorska-m-postojowe-zew-blisko-centrum-CID3-ID16RxGv.html,50,Grzegórzki
Kawalerka na osiedlu Spółdzielczym na sprzedaż!,450 000 złdo negocjacji,/d/oferta/kawalerka-na-osiedlu-spoldzielczym-na-sprzedaz-CID3-ID170z9x.html,36,Bieńczyce
Sprzedam • Tramwaj • UEK• Strych Gratis / Akademia Rolnicza • Centrum,450 000 złdo negocjacji,/d/oferta/sprzedam-tramwaj-uek-strych-gratis-akademia-rolnicza-centrum-CID3-ID171t9C.html,33,Podgórze
Mieszkanie Kraków ul. Białoprądnicka | Prądnik Biały,970 000 złdo negocjacji,/d/oferta/mieszkanie-krakow-ul-bialopradnicka-pradnik-bialy-CID3-ID17kxex.html,"81,53",Prądnik Biały
Sprzedam bezpośrednio mieszkanie 29 metrow,449 000 zł,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-mieszkanie-29-metrow-ID4ydAZ.html,"29,40",Bieńczyce
Urocze • 2 pokojowe • Balkon • Tramwaj • Centrum • Spytaj o Rabat,365 000 złdo negocjacji,/d/oferta/urocze-2-pokojowe-balkon-tramwaj-centrum-spytaj-o-rabat-CID3-ID171tk9.html,"24,50",Stare Miasto
"Gotowiec inwestycyjny — 100% wynajęte mieszkanie! Rentowność "" 9% """,1 200 000 złdo negocjacji,/d/oferta/gotowiec-inwestycyjny-100-wynajete-mieszkanie-rentownosc-9-CID3-ID10MiG0.html,"70,50",Prądnik Biały
